rev_id,article_quality
1231655023,Stub
1227026187,Stub
1226326055,Start
1221720658,Start
1185105938,Stub
1247931713,Start
1195651393,Start
1247762293,Start
1176481824,Start
1248505877,Start
1193992206,Start
1158302291,Stub
1234514379,Start
1212323536,Stub
1158659195,Stub
1240993642,Stub
1238402857,Start
1230459615,B
1207743719,C
1244521219,Start
1227635806,Stub
1234741562,Stub
1243745950,Stub
1233202991,Start
1246566971,GA
1235165845,C
1246567093,Start
1227103354,C
1237694188,Start
1136611354,Stub
1247727443,Stub
1176429234,Start
1134129082,Stub
949986748,Stub
1235521766,Start
1246566804,Start
988838315,Stub
1225385278,Start
1246566795,Start
1197443408,Stub
1234743111,C
1227180106,Start
1248976824,C
1195409073,Start
1137130537,Start
1136614743,Start
1234514565,Stub
1179137138,Start
1245967190,Start
1225661708,Start
1136614520,Stub
1235405154,Stub
1225425205,Stub
1243758857,GA
1145249317,Stub
1126667481,Stub
1171042170,Start
1136630194,Stub
1244421894,GA
1192928746,Stub
1236603169,Stub
1250227174,C
1217284690,C
1247131367,Start
1239319380,Stub
1242412237,GA
1136534788,Stub
1136614778,Stub
1176507815,Stub
1129192917,Stub
1136614561,Start
1123824802,Stub
1136614726,Stub
1198914812,Start
1248264998,Start
1244463139,Start
1250227994,C
1233490009,Start
1178097642,Stub
1185088733,Stub
1229734414,Start
1225457074,Stub
1136630129,Start
1184807608,Start
1209346411,Stub
1227179979,Stub
1245217124,Start
1222381064,Start
1227951669,Stub
1189442848,C
1204109653,Stub
1172646418,Stub
1224650124,Start
1198363158,Start
1196422551,Start
1232389768,C
1221605713,Start
1136614682,Start
1223903677,Start
1150044800,Start
1240801210,Start
1244008227,Start
1196135017,Start
1241836925,Stub
1209165678,Stub
1098236555,Stub
1227369252,Start
1243882903,GA
1112281132,Stub
1220369492,C
1229276965,Start
1229938943,GA
1237006808,Start
1220757655,C
1180949734,Stub
1222151681,C
1141930406,C
1173107489,Start
1174010569,Start
1236738861,C
1227760361,C
1245450388,C
1218412314,Start
1235824719,C
1228151428,GA
1198167947,Start
1237950375,C
1236739222,Start
1244486529,Stub
1145510350,Stub
1239924043,Stub
1226635783,C
1235824584,GA
1198219291,Stub
1244486537,Stub
1236738502,GA
1198224146,Stub
